Date,Close
1997-02-25,860.93
1997-02-26,848.03
1997-02-27,846.76
1997-02-28,848.65
1997-03-03,846.58
1997-03-04,843.78
1997-03-05,845.23
1997-03-06,842.17
1997-03-07,846.7
1997-03-10,847.52
1997-03-11,846.67
1997-03-12,844.04
1997-03-13,834.7
1997-03-14,837.53
1997-03-17,837.16
1997-03-18,836.65
1997-03-19,835.13
1997-03-20,836.82
1997-03-21,837.7
1997-03-24,840.22
1997-03-25,838.35
1997-03-26,836.31
1997-03-27,827.83
1997-03-28,827.8
1997-03-31,826.97
1997-04-01,828.93
1997-04-02,829.92
1997-04-03,830.5
1997-04-04,825.6
1997-04-07,831
1997-04-08,829.43
1997-04-09,829.26
1997-04-10,829.43
1997-04-11,824
1997-04-14,824.88
1997-04-15,832.07
1997-04-16,831.08
1997-04-17,834.3
1997-04-18,835.43
1997-04-21,833.31
1997-04-22,837.03
1997-04-23,834.14
1997-04-24,831
1997-04-25,829.57
1997-04-28,832.15
1997-04-29,844.06
1997-04-30,847.1
1997-05-01,850.04
1997-05-02,852.13
1997-05-05,853.68
1997-05-06,854.28
1997-05-07,848.18
1997-05-08,852.33
1997-05-09,855.26
1997-05-12,857.16
1997-05-13,852.75
1997-05-14,855.63
1997-05-15,857.33
1997-05-16,854.45
1997-05-19,854.36
1997-05-20,854.11
1997-05-21,850.13
1997-05-22,848.18
1997-05-23,849.1
1997-05-27,845.98
1997-05-28,846.14
1997-05-29,850.55
1997-05-30,856.63
1997-06-02,858.4
1997-06-03,861.48
1997-06-04,861.14
1997-06-05,860.88
1997-06-06,870.53
1997-06-09,866.28
1997-06-10,865.76
1997-06-11,866.62
1997-06-12,872.88
1997-06-13,876.67
1997-06-16,879.04
1997-06-17,877.76
1997-06-18,880.16
1997-06-19,880.84
1997-06-20,883.73
1997-06-23,881.27
1997-06-24,881.19
1997-06-25,877.67
1997-06-26,873.3
1997-06-27,877.19
1997-06-30,873.23
1997-07-01,878.44
1997-07-02,881.67
1997-07-03,890.67
1997-07-04,890.57
1997-07-07,895.21
1997-07-08,895.03
1997-07-09,897.74
1997-07-10,897.57
1997-07-11,899.75
1997-07-14,898.86
1997-07-15,899.13
1997-07-16,905.37
1997-07-17,905.1
1997-07-18,901.27
1997-07-21,900.16
1997-07-22,910.63
1997-07-23,912.02
1997-07-24,911.4
1997-07-25,909.09
1997-07-28,913.08
1997-07-29,917.11
1997-07-30,921.18
1997-07-31,924.61
1997-08-01,909.06
1997-08-04,908.65
1997-08-05,908.07
1997-08-06,909.42
1997-08-07,905.08
1997-08-08,891.97
1997-08-11,892.69
1997-08-12,890.62
1997-08-13,893.58
1997-08-14,900.37
1997-08-15,900.36
1997-08-18,904.93
1997-08-19,906.05
1997-08-20,903.84
1997-08-21,898.35
1997-08-22,892.2
1997-08-25,892.23
1997-08-26,893.54
1997-08-27,894.26
1997-08-28,902.22
1997-08-29,899.08
1997-09-02,902.92
1997-09-03,901.31
1997-09-04,901.18
1997-09-05,897.34
1997-09-08,900.68
1997-09-09,899.99
1997-09-10,897.81
1997-09-11,894.87
1997-09-12,903.83
1997-09-15,905.29
1997-09-16,921.95
1997-09-17,924.08
1997-09-18,923.91
1997-09-19,925.56
1997-09-22,928.49
1997-09-23,925.31
1997-09-24,931.5
1997-09-25,923.87
1997-09-26,927.15
1997-09-29,926.41
1997-09-30,923.51
1997-10-01,932.67
1997-10-02,935.04
1997-10-03,934.97
1997-10-06,939.94
1997-10-07,942.44
1997-10-08,930.08
1997-10-09,929.18
1997-10-10,890.57
1997-10-14,931.27
1997-10-15,928.29
1997-10-16,958.33
1997-10-17,890.57
1997-10-20,925.3
1997-10-21,925.59
1997-10-22,927
1997-10-23,936.16
1997-10-24,939.69
1997-10-27,945.6
1997-10-28,939.85
1997-10-29,946.98
1997-10-30,952.19
1997-10-31,954.55
1997-11-03,949.2
1997-11-04,945.75
1997-11-05,946.46
1997-11-06,951.92
1997-11-07,951.72
1997-11-10,952.56
1997-11-12,955
1997-11-13,956.45
1997-11-14,890.57
1997-11-17,960.84
1997-11-18,961.29
1997-11-19,966.04
1997-11-20,963.95
1997-11-21,965.54
1997-11-24,962.14
1997-11-25,964.55
1997-11-26,965.29
1997-11-28,967.31
1997-12-01,968.41
1997-12-02,969.07
1997-12-03,970.63
1997-12-04,969.25
1997-12-05,964.95
1997-12-08,959.6
1997-12-09,959.92
1997-12-10,963.68
1997-12-11,971.47
1997-12-12,980.08
1997-12-15,976.46
1997-12-16,977.99
1997-12-17,974.8
1997-12-18,980.03
1997-12-19,984.02
1997-12-22,986.05
1997-12-23,985.79
1997-12-24,985.06
1997-12-26,985.26
1997-12-29,984.1
1997-12-30,978.58
1997-12-31,983.46
1998-01-02,992.54
1998-01-05,1005.64
1998-01-06,1006.4
1998-01-07,999.24
1998-01-08,1004.81
1998-01-09,983.46
1998-01-12,1012.49
1998-01-13,1011.75
1998-01-14,1008.74
1998-01-15,1007.85
1998-01-16,1001.4
1998-01-20,999.53
1998-01-21,1002.06
1998-01-22,997.54
1998-01-23,983.67
1998-01-26,992.82
1998-01-27,987.09
1998-01-28,988.24
1998-01-29,999.2
1998-01-30,1003.22
1998-02-02,997.95
1998-02-03,998.39
1998-02-04,997.69
1998-02-05,991.72
1998-02-06,992.54
1998-02-09,990.19
1998-02-10,992.55
1998-02-11,999.56
1998-02-12,998.57
1998-02-13,1001.96
1998-02-17,1008.26
1998-02-18,1004.2
1998-02-19,1003.31
1998-02-20,1001.24
1998-02-23,997.35
1998-02-24,990.14
1998-02-25,995.57
1998-02-26,993.42
1998-02-27,996.17
1998-03-02,987.41
1998-03-03,981.73
1998-03-04,983.62
1998-03-05,981.29
1998-03-06,986.32
1998-03-09,992.78
1998-03-10,993.23
1998-03-11,996.93
1998-03-12,1004.06
1998-03-13,1002.13
1998-03-16,1006.41
1998-03-17,1003.01
